Date,ClientName,Side,Symbol,OrdType,TaskQty,ClOrdID,StartTime,EndTime,CancelFlag,OrderCount,CancelledCount,FilledQty,AvgPx,Status,TWAP,VWAP,BasketID,Fee,OtherFee,CumVolPercentage(%),Pnl,CumQtyBuy,CumQtySell,AvgPxBuy,AvgPxSell,EodPrice
2022-06-14,ruifeng6,S,002626.SZ,"TWAP_Plus	",100,"20838447148000135	","130551000	","131551000	",2,1,0,100,24.17,0,24.182075,24.179257,,-0.36255,-2.631388,0.0563,null,null,null,null,null,null
2022-06-14,ruifeng6,S,600258.SH,"TWAP_Plus	",200,"20838447148000136	","130551000	","131551000	",2,2,1,200,21.19,0,21.20495,21.230299,,-0.6357,-4.613911,0.1421,null,null,null,null,null,null
2022-06-14,ruifeng6,B,600406.SH,"TWAP_Plus	",100,"20838447148000137	","130551000	","131551000	",2,2,1,100,31.82,0,31.741681,31.74027,,-0.4773,-0.282243,0.0110,null,null,null,null,null,null
2022-06-14,ruizeng8,S,600258.SH,"TWAP_Plus	",100,"20838447148000138	","130551000	","131551000	",2,2,1,100,21.19,0,21.20495,21.230299,,-0.31785,-2.306955,0.0711,null,null,null,null,null,null
2022-06-14,ruizeng8,S,000028.SZ,"TWAP_Plus	",100,"20838447148000139	","130551000	","131551000	",2,1,0,100,29.1,0,29.08295,29.053051,,-0.4365,-3.168117,0.2825,null,null,null,null,null,null
2022-06-14,ruizeng8,B,600406.SH,"TWAP_Plus	",100,"20838447148000140	","130551000	","131551000	",2,2,1,100,31.82,0,31.741681,31.74027,,-0.4773,-0.282243,0.0110,null,null,null,null,null,null
2022-06-14,ruifeng6,S,002372.SZ,"TWAP_Plus	",100,"20838447148000209	","130551000	","131551000	",2,1,0,100,20.16,0,20.172325,20.174572,,-0.3024,-2.194819,0.0303,null,null,null,null,null,null
2022-06-14,ruifeng6,S,600383.SH,"TWAP_Plus	",300,"20838447148000212	","130551000	","131551000	",2,1,0,300,11.53,0,11.517875,11.519079,,-0.51885,-3.765813,0.0235,null,null,null,null,null,null
2022-06-14,ruifeng6,B,300369.SZ,"TWAP_Plus	",200,"20838447148000214	","130551000	","131551000	",2,1,0,200,9.99,0,9.993025,10.003569,,-0.2997,-0.177223,0.0541,null,null,null,null,null,null
2022-06-14,ruifeng6,S,000338.SZ,"TWAP_Plus	",100,"20838447148000216	","130551000	","131551000	",2,1,0,100,12.54,0,12.52765,12.535677,,-0.1881,-1.36523,0.0022,null,null,null,null,null,null
