算法子单编号,算法母单编号,交易日期,市场类别,资金账户名称,算法类型,算法实例,算法供应商,证券代码,委托类型,买卖方向,委托价格,委托数量,委托时间,成交价格,成交数量,委托时间,委托状态,手续费
1030835234589000004,20838434515000038,2022-06-14,2,ruizeng8,1,103,多策略,601003,1,1,4.28,1200,2022-06-1493629158,4.28,1200,2022-06-1493629158,0,0.455563
1030835234595000000,20838434514000038,2022-06-14,1,ruifeng6,1,103,多策略,002241,1,1,37.45,100,2022-06-1493635139,37.45,100,2022-06-1493635139,0,0.332182
1030835234600000000,20838434514000036,2022-06-14,1,ruizeng8,1,103,多策略,002216,1,1,18.77,100,2022-06-1493640135,0.0,0,2022-06-1493640135,0,0.0
1030835234601000000,20838434516000027,2022-06-14,1,ruiyan1,1,103,多策略,002032,1,1,53.51,200,2022-06-1493641134,0.0,0,2022-06-1493641134,0,0.0
1030835234601000001,20838434516000031,2022-06-14,1,ruiding2,1,103,多策略,002032,1,1,53.51,300,2022-06-1493641134,0.0,0,2022-06-1493641134,0,0.0
1030835234601000002,20838434516000034,2022-06-14,1,ruizeng8,1,103,多策略,002032,1,1,53.51,200,2022-06-1493641134,0.0,0,2022-06-1493641134,0,0.0
1030835234601000003,20838434515000008,2022-06-14,1,ruiding2,1,103,多策略,300207,1,1,30.02,100,2022-06-1493641143,30.02,100,2022-06-1493641143,0,0.266277
1030835234602000000,20838434515000019,2022-06-14,1,ruifeng6,1,103,多策略,002245,1,1,22.34,100,2022-06-1493642137,22.34,100,2022-06-1493642137,0,0.198156
1030835234602000001,20838434516000013,2022-06-14,1,ruiding2,1,103,多策略,002626,1,1,23.95,100,2022-06-1493642140,23.95,100,2022-06-1493642140,0,0.212436
1030835234610000000,20838434514000014,2022-06-14,1,ruifeng6,1,103,多策略,000729,1,1,8.08,100,2022-06-1493650131,8.08,100,2022-06-1493650131,0,0.07167
1030835234610000003,20838434515000029,2022-06-14,2,ruifeng6,1,103,多策略,600150,1,1,19.36,100,2022-06-1493650151,19.36,100,2022-06-1493650151,0,0.171723
1030835234614000003,20838434514000036,2022-06-14,1,ruizeng8,1,103,多策略,002216,1,1,18.8,100,2022-06-1493654136,18.8,100,2022-06-1493654136,0,0.166756
1030835234614000005,20838434516000016,2022-06-14,2,ruifeng6,1,103,多策略,600711,1,1,7.96,100,2022-06-1493654153,7.96,100,2022-06-1493654153,0,0.070605
